job_title,company,job_location,post_date,extract_date,job_description,job_salary
Senior Data Scientist,Corning,"Corning, NY 14831",30+ days ago,2022-04-25,Perform exploratory and targeted data analysis using commercial and open source data analytic software packages.,
Data Scientist at Sleep Startup,Recruiting From Scratch,"Remote in New York, NY 10002+3 locations",9 days ago,2022-04-25,Independently run data experiments and build proof of concepts to better use data and improve our client's products.,
Engineering-L2-NEW YORK-Associate-Data Analytics,Goldman Sachs,"New York, NY 10282 (Battery Park area)",30+ days ago,2022-04-25,Responsible for working with various enterprise data sources and inventories for acquiring any enrichment data set that will help with the required risk…,
Sr Data Scientist,Disney Media & Entertainment Distribution,"New York, NY",2 days ago,2022-04-25,"4-5 years practical experience in data science, preferably in the advertising sales space.
Experience designing database tables and data models.",
Data Scientist,WorkFusion,"New York, NY 10005 (Financial District area)",24 days ago,2022-04-25,"Collect, clean and study data.
Expertise in data analysis, classical machine learning.
This position requires a data scientist with a deep understanding of…",
Data Science Manager,Tatari,"Hybrid remote in New York, NY",30+ days ago,2022-04-25,"Managing a team of data scientists.
Analyzing large amounts of data to identify relationships and trends, and organize findings, translating them into…",
Data Scientist,Advan Research Corporation,"New York, NY 10017 (Midtown area)",30+ days ago,2022-04-25,The main focus would be on applying statistical modeling to various structured and unstructured geolocation data for verifying the quality and integrity of the…,
"Manager, Analytics and Data Science",Zeplin,"Remote in New York, NY",26 days ago,2022-04-25,"Grow a data science function to fuel product recommendations and predictive modeling.
Tell compelling stories from the data.",
"Analytics & Data Science, Professional, Informatics Analyst",MVP Health Care,"Schenectady, NY 12305 (Downtown area)",30+ days ago,2022-04-25,"Excellent working knowledge of data warehousing, data extraction, and standard query language for relational databases.",
DATA SCIENTIST,Montefiore Medical Center,"Tarrytown, NY 10591",30+ days ago,2022-04-25,"As a Data Scientist, the Associate will be responsible for all stages of Data Science Lifecycle: actively working with stakeholders across different teams on…",
Data Scientist (Fully Remote) 6 Month-Contract,Harnham,"Remote in New York, NY+3 locations",10 days ago,2022-04-25,"Explain sophisticated data science concepts in an understandable manner.
Degree in computer science, applied mathematics, statistics, machine learning, or other…",
Senior Data Analyst,Integral Ad Science,"New York, NY 10003 (Flatiron area)",30+ days ago,2022-04-25,"Build on existing data model to incorporate new data sources.
Analyze data to form insights that drive strategy.
Create and build out reporting in Power BI.",
Data Scientist,CBI Remote,"Remote in New York, NY",6 days ago,2022-04-25,"Exposure to big data technologies.
Experience working with data warehouses Eg: Redshift and other similar database systems.",
"Staff Software Engineering, Data Science",Zscaler,"New York, NY",5 days ago,2022-04-25,"Bachelor or Master's Degree in Computer Science required, data science concentration is a plus; PhD is preferred.",
Research Data Informationist,Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY 11724",30+ days ago,2022-04-25,"Advanced degree in life science, data science, library science, or another relevant data-intensive discipline.
Demonstrated knowledge in FAIR data.",
Data Scientist,LSEG (London Stock Exchange Group),"New York, NY",10 days ago,2022-04-25,"Collaborate with scientists, product groups and content groups to perform “big data” aggregations, symbology mapping, and manipulations of important data-sets.",
Associate Software Engineer Program - New York - May 2022 Gr...,Fitch Group,"New York, NY",26 days ago,2022-04-25,"Students pursuing a BA/BS or MA degree in computer science or an engineering/science.
At Fitch, we recognize the need to constantly push the envelope and…",
Data Scientist,"Recora, Inc","Remote in New York, NY",30+ days ago,2022-04-25,"Our data sources include structured and unstructured EHR data, claims data, clinical metrics, patient engagement metrics, as well as data from wearable devices …",
Healthcare Data Research Analyst,Cowen,"Remote in New York, NY",30+ days ago,2022-04-25,"Experience using data in the research process, especially Rx script data, claims data or similar sources.
Demonstrate how to use data to model company-reported…",
Healthcare Data Research Analyst,Cowen,"Remote in New York, NY",30+ days ago,2022-04-25,"Experience using data in the research process, especially Rx script data, claims data or similar sources.
Demonstrate how to use data to model company-reported…",
Data Analyst II,Trade Coffee,"New York, NY",30+ days ago,2022-04-25,"Co-build the roadmap for our Data Products, partnering with data science, product, operations, and marketing teams.
Proficient SQL (we use Postgres).",
"Manager, Data Science: Emerging Talent",Rockstar Games,"New York, NY 10012 (SoHo area)",30+ days ago,2022-04-25,"Manage a team of interns, entry level data analysts, and data scientists.
Experience with big data and big data technologies such as Snowflake and Hadoop.",
Data Scientist,Pearl Health,"Remote in New York, NY",1 day ago,2022-04-25,"SQL expertise and strong foundation in at least one of the main data science programming languages.
; familiarity with population health data is preferred but…",
Data Engineer,Clearpath Consultancy,"New York, NY 10169 (East Harlem area)",30+ days ago,2022-04-25,"Being a key player to support the data project roadmap spanning all stages of the data value chain: from data architecture to data engineering, data processing…",
SENIOR LABOR RESEARCH AND DATA SCIENTIST,NYC MAYORS OFFICE OF CONTRACT SVCS,"Manhattan, NY 10048",2 days ago,2022-04-25,"For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with…",
Lead Data Scientist,"Rocket Travel, Inc.","Remote in New York, NY",30+ days ago,2022-04-25,"Be a key leader to keep leveling up our internal data science toolkit.
You are passionate about how your data projects translates into better customer…",
Data Scientist,Noom US,"New York, NY 10001 (Chelsea area)",30+ days ago,2022-04-25,"We offer a generous budget for personal development expenses like training courses, conferences, and books.
You'll get three weeks' paid vacation and a flexible…",
Junior Data Scientist - Relocation Position (US - East Coast...,OGC Global,"Remote in New York, NY+1 location",30+ days ago,2022-04-25,"Develop data science solutions for clients and our internal team including:
1-3 years of experience in data analysis.",
Data Analyst,Talkspace,"Remote in New York, NY",30+ days ago,2022-04-25,"Comfortable with statistics and data manipulation.
Support B2B product and partnership initiatives with data driven strategy.",
Senior Data Scientist,Cyndx,"Hybrid remote in New York, NY",16 days ago,2022-04-25,"Practical experience working with alternative data (website traffic data, transactional data, etc.).
Practical experience working with text data (web scraped…",
Data Scientist - Analytics,Anthology Inc,"Buffalo, NY 14202 (Central Business District area)",30+ days ago,2022-04-25,"Completion of data science certificate or certification, preferred.
Raw data is inherently not consumable; the data scientist transforms this data into…",
Data Management Assistant,Campus Election Engagement Project (CEEP),"Remote in New York, NY",7 days ago,2022-04-25,Participate in the development and maintenance of organization-wide databases and data collection systems needed for data storage or processingPartner with…,
